Company,TypeName,Inches,Ram,OpSys,Weight,Price_in_euros,Cpu_Brand,Cpu_Type,Cpu_Speed,Gpu_Brand,Gpu_Type,SSD,HDD,Flash_Storage,Screen_Width,Screen_Height,TotalPixels,PPI,Ram_to_Storage,Processing_Power
HP,Notebook,14.0,8,Windows,1.48,1292.0,Intel,i7,2.7,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,21.6
Lenovo,Gaming,15.6,8,Windows,2.5,1189.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,22.4
HP,Notebook,14.0,8,Windows,1.43,1513.0,Intel,i5,2.3,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,18.4
HP,Notebook,15.6,6,Windows,2.1,650.0,AMD,A9-9420,3.0,AMD,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,18.0
Dell,Workstation,15.6,8,Windows,2.06,1763.0,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,22.4
Dell,Ultrabook,13.3,8,Windows,1.23,1379.0,Intel,i7,2.4,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,4.0,19.2
Lenovo,2 in 1 Convertible,14.0,8,Windows,1.8,2050.38,Intel,i7,2.6,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,20.8
Acer,Notebook,14.0,4,Other,1.45,375.0,Intel,Dual,1.6,Intel,Integrated,0,0,1,1366.0,768.0,1049088.0,5352.489795918367,2.0,6.4
Lenovo,Notebook,15.6,8,Windows,1.95,1962.99,Intel,i5,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,20.0
Dell,Notebook,15.6,16,Windows,1.93,1426.66,Intel,i5,2.6,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,8.0,41.6
Dell,Notebook,15.6,8,Linux,2.32,589.52,Intel,i5,2.5,AMD,Dedicated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,20.0
Lenovo,Notebook,14.0,8,Windows,1.9,1072.0,Intel,i5,2.3,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,18.4
Lenovo,2 in 1 Convertible,10.1,4,Other,0.69,549.0,Intel,x5-Z8550,1.44,Intel,Integrated,0,0,1,1920.0,1200.0,2304000.0,22586.02097833546,2.0,5.76
Apple,Ultrabook,13.3,8,Mac,1.37,2040.0,Intel,i5,3.1,Intel,Integrated,1,0,0,2560.0,1600.0,4096000.0,23155.633444513536,4.0,24.8
Lenovo,2 in 1 Convertible,14.0,8,Windows,1.27,2339.0,Intel,i7,2.5,Intel,Integrated,1,0,0,2560.0,1440.0,3686400.0,18808.163265306124,4.0,20.0
Lenovo,Notebook,15.6,8,Other,2.2,459.0,Intel,i3,2.0,Nvidia,Dedicated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,16.0
Acer,2 in 1 Convertible,11.6,4,Windows,1.25,349.0,Intel,Dual,2.0,Intel,Integrated,0,0,1,1920.0,1080.0,2073600.0,15410.225921521996,2.0,8.0
Lenovo,Gaming,15.6,8,Windows,2.4,819.0,Intel,i5,2.5,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,20.0
HP,Gaming,17.3,16,Windows,3.35,1379.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,5.333333333333333,44.8
HP,Notebook,14.0,8,Windows,1.64,1185.43,Intel,i7,2.7,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,21.6
HP,Notebook,14.0,4,Windows,2.31,1189.0,Intel,i5,2.5,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,5352.489795918367,2.0,10.0
Dell,Gaming,15.6,16,Windows,2.56,1249.26,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,8.0,44.8
Mediacom,Notebook,13.3,4,Windows,1.35,255.0,Intel,x5-Z8350,1.44,Intel,Integrated,0,0,1,1920.0,1080.0,2073600.0,11722.539431284978,2.0,5.76
Dell,Notebook,15.6,4,Linux,2.18,465.0,Intel,i3,2.0,AMD,Dedicated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,8.0
HP,Notebook,14.0,8,Windows,1.95,980.0,Intel,i5,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,20.0
HP,Notebook,15.6,8,Windows,1.88,1579.0,Intel,i5,2.3,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,18.4
Asus,Gaming,15.6,8,Windows,2.45,699.0,AMD,9830P,3.0,AMD,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,24.0
Dell,2 in 1 Convertible,11.6,4,Windows,1.47,479.0,Intel,Quad,1.6,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,7796.432818073722,2.0,6.4
Lenovo,Ultrabook,12.5,8,Windows,1.3,1713.49,Intel,i7,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,13271.04,4.0,20.0
MSI,Gaming,17.3,16,Windows,4.5,2349.0,Intel,i7,2.7,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,5.333333333333333,43.2
Dell,Notebook,15.6,8,Windows,2.0,1207.0,Intel,i7,2.7,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,21.6
Lenovo,Ultrabook,12.5,8,Windows,1.36,1584.0,Intel,i7,2.7,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,13271.04,4.0,21.6
Lenovo,Notebook,15.6,8,Windows,2.3,1049.6,Intel,i5,2.3,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,18.4
Lenovo,Notebook,15.6,8,Windows,2.2,589.0,Intel,i3,2.0,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,16.0
HP,Workstation,15.6,8,Windows,1.9,1495.0,Intel,i7,2.5,AMD,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,20.0
Lenovo,Notebook,15.6,8,Windows,2.1,1144.5,Intel,i5,1.6,AMD,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,12.8
Google,Ultrabook,12.3,16,Other,1.1,2199.0,Intel,i7,1.3,Intel,Integrated,1,0,0,2400.0,1600.0,3840000.0,25381.717231806462,8.0,20.8
Samsung,2 in 1 Convertible,15.0,16,Windows,1.71,1799.0,Intel,i7,2.7,AMD,Dedicated,1,0,0,1920.0,1080.0,2073600.0,9216.0,8.0,43.2
Dell,Ultrabook,13.3,8,Windows,1.21,1949.0,Intel,i7,1.8,Intel,Integrated,1,0,0,3840.0,2160.0,8294400.0,46890.157725139914,4.0,14.4
Lenovo,Ultrabook,14.0,8,Windows,1.7,1943.0,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,2560.0,1440.0,3686400.0,18808.163265306124,4.0,22.4
Lenovo,Ultrabook,14.0,4,Windows,1.7,1096.0,Intel,i5,2.3,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,2.0,9.2
Lenovo,Notebook,14.0,2,Windows,1.5,229.0,Intel,Dual,1.6,Intel,Integrated,0,0,1,1366.0,768.0,1049088.0,5352.489795918367,1.0,3.2
HP,Notebook,14.0,4,Windows,1.95,1149.0,Intel,i5,2.3,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,5352.489795918367,2.0,9.2
HP,Notebook,14.0,8,Windows,1.94,389.0,Intel,Quad,1.6,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,5352.489795918367,4.0,12.8
Dell,Gaming,15.6,8,Windows,2.65,1195.0,Intel,i5,2.5,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,20.0
Dell,Notebook,15.6,8,Windows,2.18,1009.9,Intel,i7,2.7,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,21.6
Dell,Ultrabook,13.3,8,Windows,1.2,1399.0,Intel,i7,1.8,Intel,Integrated,1,0,0,3200.0,1800.0,5760000.0,32562.609531347163,4.0,14.4
Mediacom,Notebook,14.0,4,Windows,1.4,249.0,Intel,x5-Z8350,1.44,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,2.0,5.76
MSI,Gaming,15.6,16,Windows,1.91,2153.37,Intel,i7,2.6,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,5.333333333333333,41.6
Acer,Notebook,15.6,4,Windows,2.1,449.0,Intel,i3,2.0,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,8.0
Dell,Notebook,15.6,4,Linux,2.18,569.0,Intel,i5,2.5,AMD,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,10.0
Lenovo,Notebook,15.6,4,Other,2.2,309.0,AMD,9220,2.9,AMD,Dedicated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,11.6
HP,Ultrabook,14.0,8,Windows,1.43,1500.0,Intel,i7,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,20.0
Lenovo,Ultrabook,14.0,16,Windows,1.14,2450.0,Intel,i7,2.7,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,8.0,43.2
Dell,2 in 1 Convertible,13.3,12,Windows,1.6,1299.0,Intel,i7,2.7,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,6.0,32.400000000000006
Dell,Ultrabook,13.3,8,Windows,1.29,1477.0,Intel,i7,2.7,Intel,Integrated,1,0,0,3200.0,1800.0,5760000.0,32562.609531347163,4.0,21.6
Lenovo,2 in 1 Convertible,13.3,8,Windows,1.37,1950.0,Intel,i7,2.7,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,4.0,21.6
Dell,Notebook,15.6,4,Windows,2.18,684.99,Intel,i5,2.5,AMD,Dedicated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,10.0
Asus,Gaming,15.6,8,Windows,2.2,1169.0,Intel,i7,2.6,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,20.8
HP,Notebook,15.6,8,Windows,2.05,598.0,Intel,i7,2.7,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,21.6
Dell,Ultrabook,12.5,4,Windows,1.5,1135.15,Intel,i3,2.3,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,6714.1632,2.0,9.2
Dell,Notebook,15.6,4,Windows,2.18,547.0,Intel,i3,2.4,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,9.6
Lenovo,Gaming,15.6,4,Windows,2.4,999.0,Intel,i7,2.8,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,11.2
Lenovo,Notebook,15.6,8,Windows,2.2,429.0,AMD,9720P,3.6,AMD,Dedicated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,28.8
Xiaomi,Ultrabook,13.3,8,Other,1.3,999.9,Intel,i5,2.5,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,4.0,20.0
Acer,Notebook,15.6,4,Linux,2.4,289.0,Intel,Dual,1.6,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,6.4
Acer,Notebook,14.0,8,Windows,2.1,389.0,Intel,i3,2.0,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,5352.489795918367,4.0,16.0
HP,Notebook,13.3,8,Windows,1.49,1103.0,Intel,i7,1.8,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,4.0,14.4
Dell,Gaming,17.3,32,Windows,4.36,3659.4,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,3840.0,2160.0,8294400.0,27713.588826890304,10.666666666666666,89.6
Lenovo,Notebook,15.6,8,Windows,2.6,899.0,Intel,i7,2.6,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,20.8
Dell,Gaming,15.6,8,Windows,2.62,1199.0,Intel,i7,2.8,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,22.4
HP,Notebook,14.0,4,Windows,1.95,1060.0,Intel,i5,2.5,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,5352.489795918367,2.0,10.0
Dell,Notebook,15.6,12,Windows,2.25,649.0,Intel,i5,2.5,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,6.0,30.0
Dell,Notebook,15.6,16,Windows,2.06,2027.42,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,3840.0,2160.0,8294400.0,34082.840236686396,8.0,44.8
Dell,Notebook,15.6,16,Windows,2.06,1899.0,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,8.0,44.8
Xiaomi,Notebook,15.6,16,Other,1.95,1399.95,Intel,i7,1.8,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,8.0,28.8
Lenovo,2 in 1 Convertible,14.0,4,Windows,1.8,638.0,Intel,i7,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,2.0,10.0
Acer,Notebook,15.6,4,Linux,2.1,412.0,Intel,i3,2.0,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,8.0
HP,Notebook,15.6,12,Windows,2.21,1327.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,33.599999999999994
HP,Notebook,14.0,8,Windows,1.43,2229.0,Intel,i7,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,20.0
HP,Notebook,15.6,8,Windows,1.84,1900.0,Intel,i5,2.4,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,19.2
Lenovo,Notebook,15.6,8,Windows,2.17,898.9,Intel,i7,1.8,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,14.4
HP,Notebook,13.3,8,Windows,1.16,1690.0,Intel,i5,2.3,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,4.0,18.4
Toshiba,Ultrabook,13.3,8,Windows,1.2,1095.0,Intel,i5,2.3,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,5930.7366159760295,4.0,18.4
MSI,Gaming,15.6,16,Windows,1.8,2241.5,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,5.333333333333333,44.8
Acer,Notebook,15.6,8,Windows,2.2,745.0,Intel,i7,1.8,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,14.4
Lenovo,2 in 1 Convertible,14.0,8,Windows,1.8,1669.0,Intel,i7,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,20.0
Asus,Notebook,15.6,4,Linux,2.0,559.0,Intel,i5,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,10.0
Dell,Notebook,15.6,4,Windows,2.29,490.0,Intel,i3,2.0,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,8.0
Asus,Notebook,15.6,4,Linux,2.0,398.99,Intel,Quad,1.1,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,4.4
MSI,Gaming,17.3,16,Windows,2.9,2029.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,5.333333333333333,44.8
MSI,Gaming,17.3,16,Windows,2.8,1890.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,5.333333333333333,44.8
